,083,008,043-1,009,003,007,005,014,006,001,002,500,024,025,039,301,038,032,034,302,026,056,010-1,058,044-1,035,049,055,220,011,016,016-1,084,015,057,057-1,064,010,201,200,222,071-1,074,051,054,033,013,004,101,085,082,152-1,012,#001,,015-1,059,017,019,203,500-B,025-1,105-2,022,500-C,500-A,086,021,143,029,#017-,142,#017,031,030,036,037,018,075-1,081,085-1,050,052-2,207,073,053,153,#012,#022,#020,#021,140-1,140,140-2,221,*100,500-D,#013,*102,942
044-1,23.28,15.54,5.21,15.64,16.23,15.64,16.73,16.86,17.59,15.4,15.79,16.82,13.69,13.82,2.94,10.7,3.65,11.03,3.68,12.73,11.88,7.14,16.9,29.44,2.0,4.66,25.29,20.41,25.34,14.77,22.87,22.06,23.89,23.89,28.45,28.15,24.21,17.45,9.47,10.27,25.89,33.08,20.55,24.29,19.99,5.53,13.77,16.23,22.69,35.0,21.6,30.98,14.35,52.56,15.4,23.89,28.78,22.78,6.55,12.24,16.82,16.82,7.76,8.58,16.82,16.82,38.02,11.04,9.26,17.04,52.56,10.18,52.56,8.37,6.3,3.75,6.05,6.55,6.55,35.0,35.0,22.09,24.07,29.11,17.81,22.88,30.84,52.56,52.56,52.56,52.56,26.13,28.61,28.61,28.61,53.53,16.82,52.56,53.53,34.87
035,21.06,13.13,5.08,13.24,13.83,13.24,14.32,14.46,15.18,12.99,13.39,14.6,11.96,13.87,4.71,12.47,5.42,7.94,3.2,14.5,10.15,5.63,14.25,27.21,3.77,2.0,23.07,18.19,23.12,12.11,20.65,19.84,21.67,21.67,26.23,25.93,21.99,14.79,12.13,10.32,23.67,30.86,18.14,22.07,17.58,6.12,11.36,13.83,20.46,32.6,19.19,28.76,11.69,49.91,12.99,21.67,26.56,20.55,3.89,12.29,14.6,14.6,9.53,7.89,14.6,14.6,35.8,8.38,6.6,10.78,49.91,7.52,49.91,11.02,6.18,4.94,6.47,3.89,3.89,32.6,32.6,19.87,21.85,26.89,15.59,20.66,28.62,49.91,49.91,49.91,49.91,23.91,26.38,26.38,26.38,50.88,14.6,49.91,50.88,32.22
049,6.91,9.63,15.39,9.91,8.6,9.91,8.05,9.22,8.73,8.82,9.02,12.44,11.29,13.24,17.56,26.23,18.17,16.55,16.41,28.26,12.23,14.1,10.44,12.76,17.53,16.05,2.0,5.26,4.56,11.25,8.09,7.16,9.01,9.01,7.67,7.37,16.34,10.08,17.07,14.97,5.11,16.41,5.65,5.57,5.71,16.34,10.88,8.6,9.08,20.57,7.78,14.31,10.97,47.04,8.82,9.01,8.0,6.54,15.66,13.66,12.44,12.44,22.84,13.27,12.44,12.44,21.35,11.85,17.31,19.98,47.04,18.08,47.04,18.06,14.79,17.49,17.79,15.66,15.66,20.57,20.57,4.95,5.91,8.33,9.22,3.61,14.17,47.04,47.04,47.04,47.04,3.67,7.83,7.83,7.83,48.01,12.44,47.04,48.01,29.35
055,4.88,6.66,12.13,7.23,5.92,7.23,5.37,6.54,6.05,5.57,5.89,9.19,8.04,9.98,14.3,22.97,14.91,13.29,13.15,25.0,8.97,10.85,7.76,11.03,14.27,12.79,6.88,2.0,6.93,8.28,6.7,5.3,6.04,6.04,10.05,9.74,11.89,7.4,13.82,11.72,7.48,14.67,2.66,5.88,3.03,13.08,7.91,5.92,8.17,18.84,5.1,12.58,8.0,43.02,5.57,6.04,10.37,4.37,12.4,10.41,9.19,9.19,20.03,10.01,9.19,9.19,19.61,8.62,14.06,17.3,43.02,14.82,43.02,14.8,11.53,14.23,14.53,12.4,12.4,18.84,18.84,3.69,5.66,10.71,5.96,4.47,12.43,43.02,43.02,43.02,43.02,7.72,10.2,10.2,10.2,43.99,9.19,43.02,43.99,25.33
220,4.95,9.66,15.42,9.94,8.63,9.94,8.08,9.25,8.76,8.85,9.05,12.48,11.32,13.27,17.59,26.26,18.2,16.58,16.44,28.29,12.26,14.13,10.47,11.62,17.56,16.08,3.7,5.29,2.0,11.28,8.12,7.19,9.04,9.04,6.53,6.23,11.59,10.11,17.1,15.0,4.62,15.27,5.68,4.05,5.74,16.37,10.91,8.63,9.11,19.43,7.81,13.17,11.0,47.09,8.85,9.04,6.86,6.57,15.69,13.69,12.48,12.48,22.87,13.3,12.48,12.48,20.21,11.88,17.34,20.01,47.09,18.11,47.09,18.09,14.82,17.52,17.82,15.69,15.69,19.43,19.43,4.98,4.28,5.46,9.25,3.64,13.03,47.09,47.09,47.09,47.09,4.26,5.44,5.44,5.44,48.06,12.48,47.09,48.06,29.4
011,14.3,4.44,8.41,4.06,6.3,4.06,6.8,5.28,6.0,7.61,5.87,10.43,9.16,10.58,11.32,19.21,11.94,11.06,9.42,21.24,7.95,7.37,6.67,20.45,10.51,8.74,15.87,11.42,15.92,2.0,13.89,13.08,14.91,14.91,19.04,18.73,17.42,6.12,12.77,10.67,16.47,24.1,10.86,15.31,10.31,10.11,3.23,6.3,13.7,23.42,10.01,22.0,2.28,42.33,7.61,14.91,19.36,13.79,8.35,11.01,10.43,10.43,16.27,7.84,10.43,10.43,29.04,4.49,10.01,15.41,42.33,10.77,42.33,13.76,8.56,11.26,12.99,8.35,8.35,23.42,23.42,13.11,15.09,19.7,10.75,13.89,21.86,42.33,42.33,42.33,42.33,16.71,19.19,19.19,19.19,43.3,10.43,42.33,43.3,24.64
016,7.77,8.3,13.78,9.94,7.68,9.94,8.5,9.67,9.18,7.21,7.54,9.29,9.6,11.54,15.94,24.61,16.56,14.94,14.79,26.65,10.61,12.49,10.89,13.92,15.91,14.43,11.14,5.13,11.19,9.93,2.0,2.93,5.26,5.26,13.69,13.39,7.77,10.53,14.94,12.83,11.13,17.56,5.79,9.16,6.16,14.72,9.56,7.68,3.37,21.73,8.23,15.47,9.65,47.72,7.21,5.26,14.02,3.55,14.04,11.52,9.29,9.29,21.68,11.65,9.29,9.29,22.5,10.26,15.7,20.44,47.72,16.46,47.72,15.92,13.17,15.87,15.65,14.04,14.04,21.73,21.73,5.85,9.5,14.35,5.99,6.48,15.33,47.72,47.72,47.72,47.72,11.98,14.46,14.46,14.46,48.69,9.29,47.72,48.69,30.03
016-1,6.37,7.76,13.23,9.4,7.14,9.4,7.57,8.74,8.25,6.67,7.0,9.25,9.14,11.08,15.4,24.07,16.01,14.39,14.25,26.1,10.07,11.95,9.96,12.52,15.37,13.89,9.75,4.2,9.79,9.38,3.4,2.0,4.58,4.58,12.3,11.99,8.59,9.6,14.9,12.8,9.73,16.17,4.86,7.77,5.23,14.18,9.02,7.14,4.87,20.34,7.3,14.07,9.1,46.32,6.67,4.58,12.62,2.93,13.5,11.49,9.25,9.25,21.13,11.11,9.25,9.25,21.11,9.72,15.16,19.5,46.32,15.92,46.32,15.89,12.63,15.33,15.62,13.5,13.5,20.34,20.34,6.39,8.11,12.96,5.96,7.33,13.93,46.32,46.32,46.32,46.32,10.59,13.06,13.06,13.06,47.29,9.25,46.32,47.29,28.63
084,9.14,8.98,14.46,10.62,8.36,10.62,9.23,10.39,9.91,7.89,8.22,10.48,10.36,12.3,16.62,25.29,17.24,15.61,15.47,27.33,11.29,13.17,11.62,15.29,16.59,15.11,12.51,8.06,12.56,10.61,6.89,5.87,2.0,2.0,15.06,14.76,10.42,11.26,16.12,14.02,12.5,18.93,6.7,10.53,9.61,15.4,10.24,8.36,6.71,23.1,9.14,16.84,10.33,49.09,7.89,2.0,15.39,5.7,14.72,12.71,10.48,10.48,22.36,12.33,10.48,10.48,23.87,10.94,16.38,21.35,49.09,17.14,49.09,17.11,13.85,16.55,16.84,14.72,14.72,23.1,23.1,9.15,10.87,15.72,7.18,10.09,16.69,49.09,49.09,49.09,49.09,13.35,15.82,15.82,15.82,50.06,10.48,49.09,50.06,31.4
015,9.14,8.98,14.46,10.62,8.36,10.62,9.23,10.39,9.91,7.89,8.22,10.48,10.36,12.3,16.62,25.29,17.24,15.61,15.47,27.33,11.29,13.17,11.62,15.29,16.59,15.11,12.51,8.06,12.56,10.61,6.89,5.87,2.0,2.0,15.06,14.76,10.42,11.26,16.12,14.02,12.5,18.93,6.7,10.53,9.61,15.4,10.24,8.36,6.71,23.1,9.14,16.84,10.33,49.09,7.89,2.0,15.39,5.7,14.72,12.71,10.48,10.48,22.36,12.33,10.48,10.48,23.87,10.94,16.38,21.35,49.09,17.14,49.09,17.11,13.85,16.55,16.84,14.72,14.72,23.1,23.1,9.15,10.87,15.72,7.18,10.09,16.69,49.09,49.09,49.09,49.09,13.35,15.82,15.82,15.82,50.06,10.48,49.09,50.06,31.4
057,6.23,11.73,17.5,12.02,10.71,12.02,10.16,11.32,10.84,10.93,11.12,14.55,13.4,15.34,19.66,28.33,20.28,18.66,18.51,30.37,14.34,16.21,12.55,7.06,19.64,18.16,5.78,7.36,5.02,13.36,9.8,8.86,10.71,10.71,2.0,2.2,11.98,12.19,19.18,17.08,3.84,13.23,7.75,5.33,7.82,18.45,12.99,10.71,10.78,17.4,9.89,11.13,13.08,50.2,10.93,10.71,2.88,8.24,17.76,15.77,14.55,14.55,24.95,15.38,14.55,14.55,18.17,13.96,19.42,22.09,50.2,20.18,50.2,20.16,16.9,19.6,19.89,17.76,17.76,17.4,17.4,7.06,5.56,4.11,11.33,5.72,10.99,50.2,50.2,50.2,50.2,6.34,5.64,5.64,5.64,51.17,14.55,50.2,51.17,32.51
057-1,6.03,11.53,17.3,11.81,10.51,11.81,9.95,11.12,10.64,10.73,10.92,14.35,13.2,15.14,19.46,28.13,20.08,18.45,18.31,30.17,14.13,16.01,12.35,9.28,19.43,17.95,5.58,7.16,4.82,13.16,9.59,8.66,10.51,10.51,2.3,2.0,11.78,11.99,18.98,16.88,3.64,12.93,7.55,5.13,7.62,18.24,12.79,10.51,10.58,17.1,9.69,10.83,12.88,49.9,10.73,10.51,2.68,8.04,17.56,15.57,14.35,14.35,24.75,15.17,14.35,14.35,17.87,13.75,19.22,21.89,49.9,19.98,49.9,19.96,16.69,19.39,19.69,17.56,17.56,17.1,17.1,6.86,5.36,3.9,11.12,5.52,10.69,49.9,49.9,49.9,49.9,6.14,5.44,5.44,5.44,50.87,14.35,49.9,50.87,32.21
064,9.31,10.66,14.67,12.29,10.04,12.29,10.9,12.07,11.58,9.56,9.89,9.62,9.93,11.51,16.33,25.51,15.89,15.29,15.69,27.54,11.14,13.38,13.3,10.44,16.81,15.33,11.56,8.59,16.38,12.28,5.85,6.39,7.61,7.61,16.97,16.66,2.0,12.93,13.86,11.76,16.32,14.09,9.25,10.24,9.63,15.62,11.91,10.04,4.48,18.26,11.69,11.99,12.0,52.91,9.56,7.61,17.29,7.01,14.94,10.45,9.62,9.62,22.57,12.55,9.62,9.62,17.23,12.38,16.59,22.45,52.91,17.36,52.91,14.85,14.07,16.47,14.57,14.94,14.94,18.26,18.26,9.32,10.47,17.26,7.56,9.95,11.85,52.91,52.91,52.91,52.91,17.18,19.65,19.65,19.65,53.88,9.62,52.91,53.88,35.22
010,12.98,5.01,10.31,3.37,8.04,4.06,5.17,3.3,4.02,8.59,7.79,11.71,10.55,11.98,13.0,21.0,13.62,12.52,11.33,23.03,9.35,9.05,2.36,19.13,12.3,10.53,14.12,10.1,14.17,4.75,14.8,13.4,15.89,15.89,17.28,16.98,18.4,2.0,14.23,12.13,14.72,22.78,9.11,13.62,8.55,11.78,4.63,8.04,14.68,21.43,8.03,20.68,4.47,38.21,8.59,15.89,17.61,12.47,10.14,12.4,11.71,11.71,15.98,9.24,11.71,11.71,27.72,6.27,11.79,13.13,38.21,12.56,38.21,15.22,10.23,12.93,14.67,10.14,10.14,21.43,21.43,11.79,13.4,17.94,11.72,12.16,20.54,38.21,38.21,38.21,38.21,14.96,17.43,17.43,17.43,39.18,11.71,38.21,39.18,20.51
201,22.6,16.86,7.59,18.29,17.55,18.29,18.05,19.51,19.2,16.72,17.11,15.18,10.67,8.7,6.04,15.29,5.59,7.63,8.1,17.32,11.47,10.11,20.89,27.94,6.98,8.75,24.61,19.73,24.66,18.16,21.4,21.35,23.19,23.19,27.77,27.47,19.79,20.35,2.0,5.15,25.21,31.59,20.61,23.61,21.17,7.36,16.41,17.55,21.22,35.76,23.21,29.49,17.74,56.12,16.72,23.19,28.1,22.09,9.26,7.12,15.18,15.18,12.36,9.49,15.18,15.18,34.64,15.35,15.37,16.62,56.12,11.68,56.12,5.83,6.86,6.17,4.28,12.89,12.89,35.76,35.76,21.41,23.39,28.43,16.37,22.19,29.35,56.12,56.12,56.12,56.12,25.45,27.92,27.92,27.92,57.09,15.18,56.12,57.09,38.43
200,19.45,13.71,5.49,15.14,14.4,15.14,14.9,16.36,16.05,13.57,13.96,12.03,7.52,5.55,6.57,15.82,6.13,5.53,6.51,17.86,8.32,5.3,17.74,24.79,7.51,7.55,21.46,16.57,21.5,15.01,18.25,18.2,20.04,20.04,24.62,24.32,16.64,17.2,4.1,2.0,22.05,28.44,17.46,20.46,18.02,6.31,13.26,14.4,18.07,32.6,20.06,26.34,14.59,52.97,13.57,20.04,24.94,18.94,7.16,3.96,12.03,12.03,12.89,6.34,12.03,12.03,31.49,12.2,12.22,14.67,52.97,9.58,52.97,5.08,4.76,6.7,4.81,7.16,7.16,32.6,32.6,18.26,20.23,25.28,13.21,19.04,26.2,52.97,52.97,52.97,52.97,22.3,24.77,24.77,24.77,53.94,12.03,52.97,53.94,35.28
222,4.52,10.02,15.79,10.31,9.0,10.31,8.45,9.61,9.13,9.22,9.41,12.84,11.69,13.63,17.95,26.62,18.57,16.95,16.8,28.66,12.63,14.5,10.84,9.85,17.92,16.44,4.07,5.65,3.75,11.65,8.08,7.15,9.0,9.0,4.76,4.46,11.55,10.48,17.47,15.37,2.0,13.49,6.04,3.62,6.11,16.73,11.28,9.0,9.07,17.66,8.18,11.4,11.37,47.64,9.22,9.0,5.08,6.53,16.05,14.06,12.84,12.84,23.24,13.67,12.84,12.84,18.43,12.24,17.71,20.38,47.64,18.47,47.64,18.45,15.18,17.88,18.18,16.05,16.05,17.66,17.66,5.35,3.85,4.28,9.61,4.01,11.25,47.64,47.64,47.64,47.64,4.63,4.83,4.83,6.25,48.61,12.84,47.64,48.61,29.95
071-1,8.53,15.11,20.58,15.68,14.37,15.68,13.82,14.99,14.5,14.02,14.34,17.48,16.48,18.43,22.75,31.42,23.36,21.74,21.6,33.45,17.42,19.3,16.21,4.56,22.72,21.24,11.6,10.45,10.84,16.73,12.38,11.45,13.29,13.29,9.49,9.29,10.06,15.85,21.73,19.62,9.66,2.0,11.11,9.74,11.48,21.53,16.36,14.37,12.54,9.52,13.55,5.59,16.45,55.7,14.02,13.29,9.7,10.82,20.85,18.32,17.48,17.48,28.48,18.46,17.48,17.48,8.41,17.07,22.5,25.75,55.7,23.27,55.7,22.71,19.98,22.68,22.44,20.85,20.85,9.52,13.27,11.17,9.97,9.69,14.41,11.06,3.49,55.7,55.7,55.7,55.7,12.16,11.46,11.46,11.46,56.67,17.48,55.7,56.67,26.0
074,5.87,6.28,12.23,6.57,5.26,6.57,4.71,5.88,5.39,5.63,5.68,9.78,8.63,10.57,14.54,23.06,15.15,13.53,13.24,25.1,9.56,10.94,7.1,12.02,14.36,12.76,7.47,2.99,7.51,7.91,7.69,6.29,9.06,9.06,10.63,10.33,12.88,6.74,14.41,12.31,8.06,15.67,2.0,6.51,2.56,13.32,7.54,5.26,9.17,19.06,5.66,13.57,7.63,42.03,5.63,9.06,10.95,5.36,12.37,11.0,9.78,9.78,19.5,10.25,9.78,9.78,20.61,8.51,14.03,16.64,42.03,14.79,42.03,15.39,11.77,14.47,15.12,12.37,12.37,19.06,19.06,4.68,6.29,11.29,6.55,5.05,13.43,42.03,42.03,42.03,42.03,8.31,10.78,10.78,10.78,43.0,9.78,42.03,43.0,24.34
051,3.21,9.25,14.72,9.58,8.27,9.58,7.72,8.88,8.4,8.15,8.48,11.78,10.62,12.57,16.89,25.56,17.5,15.88,15.74,27.59,11.56,13.44,10.11,9.97,16.86,15.38,4.38,4.59,5.08,10.87,6.78,5.85,7.69,7.69,7.0,6.7,14.36,9.75,16.41,14.3,4.43,13.61,5.01,2.0,5.38,15.67,10.5,8.27,7.76,17.78,7.45,11.51,10.59,46.54,8.15,7.69,7.32,5.22,14.99,12.99,11.78,11.78,22.51,12.6,11.78,11.78,18.55,11.21,16.64,19.65,46.54,17.41,46.54,17.39,14.12,16.82,17.12,14.99,14.99,17.78,17.78,4.14,2.54,7.66,8.55,3.64,11.37,46.54,46.54,46.54,46.54,6.41,8.35,8.35,8.35,47.51,11.78,46.54,47.51,28.85
054,6.43,5.91,11.85,6.2,4.89,6.2,4.34,5.5,5.02,5.26,5.3,10.15,9.0,10.94,14.17,22.69,14.78,13.16,12.87,24.72,9.51,10.57,6.73,12.58,13.99,12.39,7.57,3.03,7.61,7.54,8.25,6.85,7.08,7.08,10.73,10.43,13.44,6.37,14.78,12.68,8.16,16.22,2.37,7.07,2.0,12.95,7.17,4.89,9.72,18.51,4.07,14.13,7.26,41.47,5.26,7.08,11.05,5.92,12.0,11.37,10.15,10.15,19.13,9.88,10.15,10.15,21.16,8.13,13.65,16.27,41.47,14.42,41.47,15.76,11.4,14.1,15.49,12.0,12.0,18.51,18.51,5.24,6.85,11.39,6.92,5.61,13.98,41.47,41.47,41.47,41.47,8.41,10.88,10.88,10.88,42.44,10.15,41.47,42.44,23.78
033,21.5,13.97,5.42,14.61,14.67,14.61,15.16,15.83,16.32,13.83,14.23,15.04,11.71,12.02,3.41,13.05,4.02,9.05,5.3,15.08,9.9,6.11,17.22,27.65,4.35,8.18,23.51,18.62,23.55,14.16,21.09,20.27,22.11,22.11,26.67,26.37,22.43,16.68,10.03,8.47,24.1,31.3,18.98,22.51,18.42,2.0,12.74,14.67,20.9,33.73,20.32,29.2,13.74,52.88,13.83,22.11,26.99,20.99,7.92,10.43,15.04,15.04,10.11,6.6,15.04,15.04,36.24,11.35,10.4,13.46,52.88,11.55,52.88,8.93,4.33,3.34,5.08,7.92,7.92,33.73,33.73,20.31,22.28,27.33,16.03,21.09,29.06,52.88,52.88,52.88,52.88,24.35,26.82,26.82,26.82,53.85,15.04,52.88,53.85,35.19
013,13.75,3.88,7.71,3.88,5.75,3.88,6.25,5.09,5.82,6.5,5.31,12.8,10.89,9.35,10.38,18.54,10.99,9.9,8.72,20.58,6.72,6.42,6.48,19.9,9.85,8.24,15.32,10.87,15.37,3.84,13.34,12.52,14.36,14.36,18.48,18.18,16.87,5.94,11.61,9.51,15.92,23.55,10.31,14.75,9.75,9.16,2.0,5.75,13.15,23.23,9.83,21.45,3.42,42.14,6.5,14.36,18.81,13.24,7.85,9.78,12.8,9.2,15.61,6.61,12.8,12.8,28.49,3.99,9.51,15.37,42.14,10.27,42.14,12.59,7.61,10.31,12.04,7.85,7.85,23.23,23.23,12.56,14.53,19.14,9.81,13.34,21.31,42.14,42.14,42.14,42.14,16.16,18.64,18.64,18.64,43.11,12.8,42.14,43.11,24.45
004,10.76,3.24,9.35,4.88,2.0,4.88,3.99,5.16,4.68,3.5,2.48,8.81,7.66,9.6,11.66,20.18,12.28,10.65,10.36,22.22,7.15,8.06,6.39,16.91,11.49,9.88,11.9,7.89,11.95,4.87,10.52,9.71,11.54,11.54,15.07,14.76,14.05,6.03,12.37,10.27,12.5,20.56,6.89,11.4,6.34,10.44,4.5,2.0,10.34,22.41,9.01,18.46,4.59,42.94,3.5,11.54,15.39,10.25,9.49,10.03,8.81,8.81,17.25,7.37,8.81,8.81,25.5,5.63,11.15,17.01,42.94,11.91,42.94,13.35,8.89,11.59,13.08,9.49,9.49,22.41,22.41,9.57,11.18,15.73,7.38,9.94,18.32,42.94,42.94,42.94,42.94,12.74,15.22,15.22,15.22,43.91,8.81,42.94,43.91,25.25
101,9.25,8.18,13.65,9.81,7.56,9.81,8.42,9.59,9.11,7.09,7.41,9.16,9.47,11.42,15.82,24.49,16.43,14.81,14.67,26.52,10.49,12.37,10.82,14.16,15.79,14.31,12.62,6.12,12.66,9.8,4.05,3.92,5.14,5.14,15.17,14.87,5.72,10.46,14.81,12.71,12.6,17.81,6.78,10.64,7.15,14.6,9.44,7.56,2.0,21.97,9.22,15.71,9.52,49.2,7.09,5.14,15.49,4.54,13.92,11.4,9.16,9.16,21.55,11.53,9.16,9.16,20.95,10.14,15.57,21.42,49.2,16.34,49.2,15.79,13.05,15.75,15.52,13.92,13.92,21.97,21.97,6.84,10.98,15.83,5.86,7.47,15.57,49.2,49.2,49.2,49.2,13.46,15.93,15.93,15.93,50.17,9.16,49.2,50.17,31.5
